      schema      |           object_name            | object_type 
 anaplan_dev      | f116000000022                    |                0
 anaplan_dev      | f116000000023                    |                0
 anaplan_dev      | f116000000048                    |                0
 anaplan_dev      | f116000000049                    |                0
 anaplan_dev      | http_blob_test                   |                0
 anaplan_dev      | last_purch_price                 |                0
 anaplan_dev      | last_purchase_price              |                0
 anaplan_dev      | md_budget_customer               |                0
 anaplan_dev      | md_budget_customer_200           |                0
 anaplan_dev      | md_customer_detail_t             |                0
 anaplan_dev      | ol_fixeddiscounts                |                0
 anaplan_dev      | ol_salesinvoicediscounts         |                0
 anaplan_dev      | td_mondays                       |                0
 anaplan_dev      | td_sales_sum                     |                0
 anaplan_dev      | td_sales_sum_daily               |                0
 anaplan_dev      | td_sales_sum_daily_full          |                0
 anaplan_dev      | td_sales_sum_full                |                0
 lbm3prd1_anaplan | ad_currencyrates_last            |                0
 lbm3prd1_anaplan | ad_last_purch_price              |                0
 lbm3prd1_anaplan | ad_purchase_agreement_prices     |                0
 lbm3prd1_anaplan | md_cogs_materials                |                0
 lbm3prd1_anaplan | md_costcenter                    |                0
 lbm3prd1_anaplan | md_customer                      |                0
 lbm3prd1_anaplan | md_customer_detail               |                0
 lbm3prd1_anaplan | md_deliverydate                  |                0
 lbm3prd1_anaplan | md_pricelist                     |                0
 lbm3prd1_anaplan | md_product                       |                0
 lbm3prd1_anaplan | md_workcenter                    |                0
 lbm3prd1_anaplan | mwopts                           |                0
 lbm3prd1_anaplan | td_account_movements             |                0
 lbm3prd1_anaplan | td_capex                         |                0
 lbm3prd1_anaplan | td_cogs_oh_costing               |                0
 lbm3prd1_anaplan | td_cogs_operations               |                0
 lbm3prd1_anaplan | td_cogs_recipe                   |                0
 lbm3prd1_anaplan | td_marketingmoney                |                0
 lbm3prd1_anaplan | td_naturebased_cogs              |                0
 m3sky_anaplan    | ad_currencyrates                 |                0
 m3sky_anaplan    | ad_currencyrates_last            |                0
 m3sky_anaplan    | ad_last_purch_price              |                0
 m3sky_anaplan    | ad_purchase_agreement_prices     |                0
 m3sky_anaplan    | md_cogs_materials                |                0
 m3sky_anaplan    | md_costcenter                    |                0
 m3sky_anaplan    | md_customer                      |                0
 m3sky_anaplan    | md_deliverydate                  |                0
 m3sky_anaplan    | md_pricelist                     |                0
 m3sky_anaplan    | md_product                       |                0
 m3sky_anaplan    | md_workcenter                    |                0
 m3sky_anaplan    | td_account_movements             |                0
 m3sky_anaplan    | td_actual_mo_time                |                0
 m3sky_anaplan    | td_campaigns                     |                0
 m3sky_anaplan    | td_capex                         |                0
 m3sky_anaplan    | td_cogs_latestcost               |                0
 m3sky_anaplan    | td_cogs_oh_costing               |                0
 m3sky_anaplan    | td_cogs_operations               |                0
 m3sky_anaplan    | td_cogs_recipe                   |                0
 m3sky_anaplan    | td_depreciation_plan             |                0
 m3sky_anaplan    | td_marketingmoney                |                0
 m3sky_anaplan    | td_naturebased_cogs              |                0
(86 rows)

